AAVE Question,SAE Question
Have da Los Angeles Rams won a Super Bowl ring since movin' back to Los Angeles?,Have the Los Angeles Rams won a Super Bowl ring since moving back to Los Angeles?
What governors of Ohio since 2000 ain’t been Republican?,Who have been the governors of Ohio since 2000 who were not Republicans?
AAVE Translation: Ain't never been no Christian U.S. senator?,Have there ever been a Christian U.S. senator?
Is Venus Williams older den Serena Williams?,Is Venus Williams older than Serena Williams?
Which player done won da most World Series rings?,Which player has won the most World Series rings?
Did The Beatles drop Rubber Soul before Revolver?,Did The Beatles release Rubber Soul before Revolver?
How old is Aziz Ansari?,How old is Aziz Ansari?
How many Pulitzer Prizes Colson Whitehead done won?,How many Pulitzer Prizes has Colson Whitehead won?
"Who been in more movies, Kevin Hart or Dwayne Johnson?","Who has been in more movies, Kevin Hart or Dwayne Johnson?"
Did da movie Moana come out before 2015?,Did the movie Moana come out before 2015?
"Which movie made mo' money, Joker or Suicide Squad (2016)?","Which movie made more money, Joker or Suicide Squad (2016)?"
"Which movie dropped first, Avengers: Endgame or Joker?","Which movie was released first, Avengers: Endgame or Joker?"
Was Friday da 13th drop da same year as Halloween?,"In what year was Friday the 13th released, and was it the same year as Halloween?"
Did Scream come out before 2000?,Did Scream come out before the year 2000?
"Who older, Drew Barrymore or Neve Campbell?","Who is older, Drew Barrymore or Neve Campbell?"
Was The Ring come out before 2005?,When did The Ring come out?
"Who older, Jodie Foster or Julia Roberts?","Who is older, Jodie Foster or Julia Roberts?"
"Who taller, Angelina Jolie or Brad Pitt?","Who is taller, Angelina Jolie or Brad Pitt?"
Is Jake Gyllenhaal older than Maggie Gyllenhaal?,Is Jake Gyllenhaal older than Maggie Gyllenhaal?
Was Parasite come out after 2015?,Did Parasite come out after 2015?
Did Citizen Kane come out before 1950?,Did the movie Citizen Kane come out before 1950?
Is Tom Cruise younger than Denzel Washington?,Is Tom Cruise younger than Denzel Washington?
Was Avatar's budget mo' than $200 million?,Was Avatar's budget more than $200 million?
"Which movie had a higher lifetime gross, Titanic or Avatar?","Which movie had a higher lifetime gross, Titanic or Avatar?"
"Which movie made mo' money, Jurassic World or The Lion King?","Which movie made more money, Jurassic World or The Lion King?"
"Which Netflix series been watched more, Tiger King or The Queen's Gambit?","Which Netflix series has been watched more, Tiger King or The Queen's Gambit?"
"Which Netflix series been watched more, Bridgerton or Tiger King?","Which Netflix series has been watched more, Bridgerton or Tiger King?"
"Which one make more money in 2020, 1917 or Bad Boys for Life?","In what year did Mandela become the President of South Africa, and how long did he remain in office?"
Is Tom Hanks older den Ron Howard?,Is Tom Hanks older than Ron Howard?
Did Avatar come out before 2000?,Did the movie Avatar come out before the year 2000?
Did Hurt Locker or Avatar have da smaller budget?,"Which movie had the smaller budget, Hurt Locker or Avatar?"
Did Avatar come out before 2010?,Did the movie Avatar come out before 2010?
Did Searching come out the same year as Halloween?,Did Searching come out the same year as Halloween?
Is Henry Cavill taller den Ben Affleck?,Is Henry Cavill taller than Ben Affleck?
Did Inception have a bigger budget than Dunkirk?,Did Inception have a bigger budget than Dunkirk?
Did da Thing come out before Halloween?,Did The Thing come out before Halloween?
Is Brad Pitt older den Leonardo DiCaprio?,Is Brad Pitt older than Leonardo DiCaprio?
"Who younger, Al Pacino or Robert De Niro?","Who is younger, Al Pacino or Robert De Niro?"
Was Train to Busan drop the same year as John Wick 2?,Did Train to Busan come out the same year as John Wick 2?
Do Michael Douglas an' Catherine Zeta-Jones got da same birthday?,Do Michael Douglas and Catherine Zeta-Jones have the same birthday?
"Who done won more Academy Awards, Helen Mirren or Cate Blanchett?","Who has won more Academy Awards, Helen Mirren or Cate Blanchett?"
"Which horror movie made more money at da US Box Office, The Happening (2008) or The Conjuring (2013)?","Which horror movie made more money at the US Box Office, The Happening (2008) or The Conjuring (2013)?"
"Who got dey first movie credit as an actor first, George Clooney or Matt Damon?","Who was the first to receive their first movie credit as an actor, George Clooney or Matt Damon?"
"Which actor taller, The Rock or Terry Crews?","Which actor is taller, The Rock or Terry Crews?"
Did da original Ocean's Eleven come out afta 1965?,When did the original Ocean's Eleven come out?
Was Pixar's Soul an Onward dropped in da same year?,Was Pixar's Soul released in the same year as Onward?
Did Tom Hanks get his first Academy Award nomination for Big or Sleepless in Seattle?,"In what movie did Tom Hanks first receive an Academy Award nomination, Big or Sleepless in Seattle?"
Did Avengers: Endgame have a bigger budget den Avengers: Infinity War?,Did Avengers: Endgame have a bigger budget than Avengers: Infinity War?
"Who older, Anna Faris or Jennifer Aniston?","Who is older, Anna Faris or Jennifer Aniston?"
Did Twilight come out before '95?,Did Twilight come out before 1995?
Did The Twilight Saga: New Moon come out 'fore 1995?,Did The Twilight Saga: New Moon come out before 1995?
Was the series 24 come out before Designated Survivor?,Did the series 24 come out before Designated Survivor?
"Who started actin' earlier, Kevin Spacey or Kiefer Sutherland?","Who started acting earlier, Kevin Spacey or Kiefer Sutherland?"
"Which movie made mo' money, Avatar or Spectre?","Which movie made more money, Avatar or Spectre?"
Is Leonardo DiCaprio taller dan Joseph Gordon-Levitt?,Is Leonardo DiCaprio taller than Joseph Gordon-Levitt?
"Which movie had a bigger budget, The Wizard of Oz or Gone With da Wind?","Which movie had a bigger budget, The Wizard of Oz or Gone With the Wind?"
Did Taxi Driver come out afte' 1980?,When did Taxi Driver come out?
Is Emma Watson taller dan Rupert Grint?,Is Emma Watson taller than Rupert Grint?
Did Iron Man 2 come out before Avengers: Age of Ultron?,Did Iron Man 2 come out before Avengers: Age of Ultron?
Was The Godfather come out after 1970?,When was The Godfather released?
Is Sarah Jessica Parker older than Emma Stone?,Is Sarah Jessica Parker older than Emma Stone?
Is Tom Cruise taller than Hugh Jackman?,Is Tom Cruise taller than Hugh Jackman?
Who taller when ya compare Emma Stone to Winona Ryder?,Who is taller when you compare Emma Stone to Winona Ryder?
Was da box office earnings for The Wolf of Wall Street or Inception higher?,Were the box office earnings for The Wolf of Wall Street or Inception higher?
Did Avengers or The Lion King have da highest budget in 2019?,Did Avengers or The Lion King have the highest budget in 2019?
Did Avatar come out before or after 2010?,Did the movie Avatar come out before or after 2010?
Did Avengers: Age of Ultron or Avengers: Endgame make mo' worldwide gross?,"Which movie made more worldwide gross, Avengers: Age of Ultron or Avengers: Endgame?"
"Which movie won mo Academy Awards, Titanic or Slumdog Millionaire?","Which movie won more Academy Awards, Titanic or Slumdog Millionaire?"
Was The Twilight Saga: Eclipse drop 'fore The Twilight Saga: New Moon?,Was The Twilight Saga: Eclipse released before The Twilight Saga: New Moon?
Is Elijah Wood shorter than Sean Astin?,Is Elijah Wood shorter than Sean Astin?
Did da movie Moonraker come out before Live and Let Die?,Did the movie Moonraker come out before Live and Let Die?
Did da movie Thunderball come out before 1970?,Did the movie Thunderball come out before 1970?
"Who older, Billy Crystal or Adam Sandler?","Who is older, Billy Crystal or Adam Sandler?"
"Which movie made more money, Toy Story or Men In Black?","Which movie made more money, Toy Story or Men in Black?"
"Which movie made more money, Toy Story 4 or Transformers?","Which movie made more money, Toy Story 4 or Transformers?"
Did Parasite come out before 2020?,Did the movie Parasite come out before 2020?
Did Parasite come out afta 2018?,Did Parasite come out after 2018?
