,AAVE Question,SAE Question,SPARQL,Results,Attempts,names
10,Which countries got places wit more than two caves?,Which countries have places with more than two caves?,,{},0,
11,"Which airports be in California, USA?","Which airports are in California, USA?",,{},0,
12,Wha's Angela Merkel's birth name?,What is Angela Merkel's birth name?,,{},0,
13,Who the mayor of Berlin?,Who is the mayor of Berlin?,,{},0,
14,Which countries in da European Union adopted da Euro?,Which countries in the European Union adopted the Euro?,,{},0,
15,Which country Bill Gates born in?,In which country was Bill Gates born?,,{},0,
16,How many grandkids Jacques Cousteau have?,How many grandchildren does Jacques Cousteau have?,"SELECT (COUNT(DISTINCT ?grandchild) AS ?grandchildrenCount) WHERE {
  VALUES ?name { ""Jacques-Yves Cousteau""@en ""Jacques Cousteau""@en }
  ?person rdfs:label ?name;
          wdt:P31 wd:Q5;
          wdt:P40/wdt:P40 ?grandchild.
  SERVICE wikibase:label { bd:serviceParam wikibase:language ""en"". }
}","{'head': {'vars': ['grandchildrenCount']}, 'results': {'bindings': [{'grandchildrenCount': {'datatype': 'http://www.w3.org/2001/XMLSchema#integer', 'type': 'literal', 'value': '4'}}]}}",1,4
17,Gimme all da professional skateboarders from Sweden.,Give me all the professional skateboarders from Sweden.,,{},0,
18,Which monarchs of da United Kingdom was married to a German?,Which monarchs of the United Kingdom were married to a German?,,{},0,
19,Gimme all da Argentine films.,Give me all the Argentine films.,,{},0,
20,How Michael Jackson die?,How did Michael Jackson die?,,{},0,
21,Which U.S. state been admitted latest?,Which U.S. state was admitted most recently?,,{},0,
22,Which classes da Millepede belong to?,Which classes does the Millipede belong to?,"SELECT ?class ?classLabel WHERE {
  ?article schema:about ?millipede;
           schema:isPartOf <https://en.wikipedia.org/>;
           schema:name ""Millipede""@en.
  ?millipede wdt:P31 ?class.
  SERVICE wikibase:label { bd:serviceParam wikibase:language ""en"". }
}","{'head': {'vars': ['class', 'classLabel']}, 'results': {'bindings': [{'class': {'type': 'uri', 'value': 'http://www.wikidata.org/entity/Q16521'}, 'classLabel': {'xml:lang': 'en', 'type': 'literal', 'value': 'taxon'}}]}}",2,taxon
23,Give me da homepage of Forbes.,Give me the homepage of Forbes.,,{},0,
24,Who be da husband of Amanda Palmer?,Who was the husband of Amanda Palmer?,"SELECT ?husband ?husbandLabel WHERE {
  ?person rdfs:label ""Amanda Palmer""@en.
  ?person wdt:P31 wd:Q5.
  ?person wdt:P26 ?husband.
  ?husband wdt:P21 wd:Q6581097.
  SERVICE wikibase:label { bd:serviceParam wikibase:language ""en"". }
}","{'head': {'vars': ['husband', 'husbandLabel']}, 'results': {'bindings': [{'husband': {'type': 'uri', 'value': 'http://www.wikidata.org/entity/Q210059'}, 'husbandLabel': {'xml:lang': 'en', 'type': 'literal', 'value': 'Neil Gaiman'}}, {'husband': {'type': 'uri', 'value': 'http://www.wikidata.org/entity/Q75429569'}, 'husbandLabel': {'xml:lang': 'en', 'type': 'literal', 'value': 'Anthony Robert Alexander'}}]}}",1,Neil Gaiman
25,Who painted The Storm on da Sea of Galilee?,Who painted The Storm on the Sea of Galilee?,"SELECT ?painter ?painterLabel WHERE {
  ?painting wdt:P31 wd:Q3305213;
            (wdt:P1476|rdfs:label) ""The Storm on the Sea of Galilee""@en;
            wdt:P170 ?painter.
  SERVICE wikibase:label { bd:serviceParam wikibase:language ""en"". }
}","{'head': {'vars': ['painter', 'painterLabel']}, 'results': {'bindings': [{'painter': {'type': 'uri', 'value': 'http://www.wikidata.org/entity/Q5598'}, 'painterLabel': {'xml:lang': 'en', 'type': 'literal', 'value': 'Rembrandt'}}]}}",1,Rembrandt
26,What the highest place of Karakoram?,What is the highest place in the Karakoram?,,{},0,
27,When Finland join da EU?,When did Finland join the EU?,"SELECT ?start WHERE {
  wd:Q33 p:P463 ?membership.
  ?membership ps:P463 wd:Q458;
              pq:P580 ?start.
  SERVICE wikibase:label { bd:serviceParam wikibase:language ""en"". }
}
ORDER BY ?start
LIMIT 1","{'head': {'vars': ['start']}, 'results': {'bindings': [{'start': {'datatype': 'http://www.w3.org/2001/XMLSchema#dateTime', 'type': 'literal', 'value': '1995-01-01T00:00:00Z'}}]}}",1,1995-01-01T00:00:00Z
28,Which actors be playin in Big Bang Theory?,Which actors are playing in The Big Bang Theory?,,{},0,
29,Which computer scientist won a Oscar?,Which computer scientist won an Oscar?,"SELECT DISTINCT ?item ?itemLabel ?award ?awardLabel WHERE {
  ?item wdt:P31 wd:Q5;
        wdt:P106 wd:Q82594;
        wdt:P166 ?award.
  ?award wdt:P361 wd:Q19020.
  SERVICE wikibase:label { bd:serviceParam wikibase:language ""en"". }
}","{'head': {'vars': ['item', 'itemLabel', 'award', 'awardLabel']}, 'results': {'bindings': [{'award': {'type': 'uri', 'value': 'http://www.wikidata.org/entity/Q488151'}, 'item': {'type': 'uri', 'value': 'http://www.wikidata.org/entity/Q93161'}, 'itemLabel': {'xml:lang': 'en', 'type': 'literal', 'value': 'Edwin Catmull'}, 'awardLabel': {'xml:lang': 'en', 'type': 'literal', 'value': 'Gordon E. Sawyer Award'}}]}}",1,Edwin Catmull
30,Who wrote Harry Potter?,Who wrote Harry Potter?,,{},0,
