,SAE Question,AAVE Question,SPARQL,Results,Attempts,Name,Answer
10,Which river is longer than the Mississippi River?,Which river longer than da Mississippi River?,"SELECT DISTINCT ?river ?riverLabel WHERE {
  wd:Q1497 wdt:P2043 ?missLen.
  ?river wdt:P31 wd:Q4022;
         wdt:P2043 ?length.
  FILTER(?river != wd:Q1497)
  FILTER(?length > ?missLen)
  SERVICE wikibase:label { bd:serviceParam wikibase:language ""en"". }
}","{'head': {'vars': ['river', 'riverLabel']}, 'results': {'bindings': [{'river': {'type': 'uri', 'value': 'http://www.wikidata.org/entity/Q123470807'}, 'riverLabel': {'xml:lang': 'en', 'type': 'literal', 'value': 'Meratus River'}}, {'river': {'type': 'uri', 'value': 'http://www.wikidata.org/entity/Q123470809'}, 'riverLabel': {'xml:lang': 'en', 'type': 'literal', 'value': 'Pasar Rambai River'}}, {'river': {'type': 'uri', 'value': 'http://www.wikidata.org/entity/Q123470784'}, 'riverLabel': {'xml:lang': 'en', 'type': 'literal', 'value': 'Sipai River'}}, {'river': {'type': 'uri', 'value': 'http://www.wikidata.org/entity/Q123470810'}, 'riverLabel': {'xml:lang': 'en', 'type': 'literal', 'value': 'Salatiga River'}}, {'river': {'type': 'uri', 'value': 'http://www.wikidata.org/entity/Q123470811'}, 'riverLabel': {'xml:lang': 'en', 'type': 'literal', 'value': 'Skip Lama River'}}, {'river': {'type': 'uri', 'value': 'http://www.wikidata.org/entity/Q128102'}, 'riverLabel': {'xml:lang': 'en', 'type': 'literal', 'value': 'Irtysh'}}, {'river': {'type': 'uri', 'value': 'http://www.wikidata.org/entity/Q136779214'}, 'riverLabel': {'xml:lang': 'en', 'type': 'literal', 'value': 'Deia'}}, {'river': {'type': 'uri', 'value': 'http://www.wikidata.org/entity/Q855309'}, 'riverLabel': {'xml:lang': 'en', 'type': 'literal', 'value': 'Bian River'}}, {'river': {'type': 'uri', 'value': 'http://www.wikidata.org/entity/Q127892'}, 'riverLabel': {'xml:lang': 'en', 'type': 'literal', 'value': 'Paraná River'}}, {'river': {'type': 'uri', 'value': 'http://www.wikidata.org/entity/Q12517843'}, 'riverLabel': {'xml:lang': 'en', 'type': 'literal', 'value': 'Kuin River'}}, {'river': {'type': 'uri', 'value': 'http://www.wikidata.org/entity/Q19742193'}, 'riverLabel': {'xml:lang': 'en', 'type': 'literal', 'value': 'Mentaya River'}}, {'river': {'type': 'uri', 'value': 'http://www.wikidata.org/entity/Q7124470'}, 'riverLabel': {'xml:lang': 'en', 'type': 'literal', 'value': 'Paguyaman River'}}, {'river': {'type': 'uri', 'value': 'http://www.wikidata.org/entity/Q6774211'}, 'riverLabel': {'xml:lang': 'en', 'type': 'literal', 'value': 'Martapura River'}}, {'river': {'type': 'uri', 'value': 'http://www.wikidata.org/entity/Q24838118'}, 'riverLabel': {'xml:lang': 'en', 'type': 'literal', 'value': 'Setarap River'}}, {'river': {'type': 'uri', 'value': 'http://www.wikidata.org/entity/Q24842041'}, 'riverLabel': {'xml:lang': 'en', 'type': 'literal', 'value': 'Satui River'}}, {'river': {'type': 'uri', 'value': 'http://www.wikidata.org/entity/Q24843318'}, 'riverLabel': {'xml:lang': 'en', 'type': 'literal', 'value': 'Riam Kanan River'}}, {'river': {'type': 'uri', 'value': 'http://www.wikidata.org/entity/Q24843320'}, 'riverLabel': {'xml:lang': 'en', 'type': 'literal', 'value': 'Riamkiwa River'}}, {'river': {'type': 'uri', 'value': 'http://www.wikidata.org/entity/Q24878211'}, 'riverLabel': {'xml:lang': 'en', 'type': 'literal', 'value': 'Katingan River'}}, {'river': {'type': 'uri', 'value': 'http://www.wikidata.org/entity/Q24881791'}, 'riverLabel': {'xml:lang': 'en', 'type': 'literal', 'value': 'Kumai River'}}, {'river': {'type': 'uri', 'value': 'http://www.wikidata.org/entity/Q24882002'}, 'riverLabel': {'xml:lang': 'en', 'type': 'literal', 'value': 'Lamandau River'}}, {'river': {'type': 'uri', 'value': 'http://www.wikidata.org/entity/Q25016967'}, 'riverLabel': {'xml:lang': 'en', 'type': 'literal', 'value': 'Alalak River'}}, {'river': {'type': 'uri', 'value': 'http://www.wikidata.org/entity/Q3392'}, 'riverLabel': {'xml:lang': 'en', 'type': 'literal', 'value': 'Nile'}}, {'river': {'type': 'uri', 'value': 'http://www.wikidata.org/entity/Q3503'}, 'riverLabel': {'xml:lang': 'en', 'type': 'literal', 'value': 'Congo'}}, {'river': {'type': 'uri', 'value': 'http://www.wikidata.org/entity/Q3783'}, 'riverLabel': {'xml:lang': 'en', 'type': 'literal', 'value': 'Amazon'}}, {'river': {'type': 'uri', 'value': 'http://www.wikidata.org/entity/Q5413'}, 'riverLabel': {'xml:lang': 'en', 'type': 'literal', 'value': 'Yangtze'}}, {'river': {'type': 'uri', 'value': 'http://www.wikidata.org/entity/Q7355'}, 'riverLabel': {'xml:lang': 'en', 'type': 'literal', 'value': 'Yellow River'}}, {'river': {'type': 'uri', 'value': 'http://www.wikidata.org/entity/Q3542'}, 'riverLabel': {'xml:lang': 'en', 'type': 'literal', 'value': 'Niger River'}}, {'river': {'type': 'uri', 'value': 'http://www.wikidata.org/entity/Q41179'}, 'riverLabel': {'xml:lang': 'en', 'type': 'literal', 'value': 'Mekong River'}}, {'river': {'type': 'uri', 'value': 'http://www.wikidata.org/entity/Q46841'}, 'riverLabel': {'xml:lang': 'en', 'type': 'literal', 'value': 'Lena River'}}, {'river': {'type': 'uri', 'value': 'http://www.wikidata.org/entity/Q116469463'}, 'riverLabel': {'xml:lang': 'en', 'type': 'literal', 'value': 'Jūrō Gawa'}}, {'river': {'type': 'uri', 'value': 'http://www.wikidata.org/entity/Q123470806'}, 'riverLabel': {'xml:lang': 'en', 'type': 'literal', 'value': 'Bali River'}}]}}",1,['Meratus River'],The Meratus River
11,How old is Da singer of The Dance?,How old is da singer of The Dance?,"SELECT ?singer ?singerLabel ?age WHERE {
  ?song wdt:P31 wd:Q7366;
        rdfs:label ""The Dance""@en;
        wdt:P175 ?singer.
  ?singer wdt:P31 wd:Q5;
          wdt:P569 ?dob.
  OPTIONAL { ?singer wdt:P570 ?dod. }
  BIND(COALESCE(?dod, NOW()) AS ?refDate)
  BIND(YEAR(?refDate) - YEAR(?dob) - IF(MONTH(?refDate) < MONTH(?dob) || (MONTH(?refDate) = MONTH(?dob) && DAY(?refDate) < DAY(?dob)), 1, 0) AS ?age)
  SERVICE wikibase:label { bd:serviceParam wikibase:language ""en"". }
}","{'head': {'vars': ['singer', 'singerLabel', 'age']}, 'results': {'bindings': []}}",1,,I don't know
12,What is the latest U.S. state to get admitted to the union that isn't Hawaii?,What da latest US state to get admitted to da union dat ain't Hawaii?,"SELECT ?state ?stateLabel ?admission WHERE {
  ?state wdt:P31 wd:Q35657;
         wdt:P571 ?admission.
  FILTER(?state != wd:Q782)
  SERVICE wikibase:label { bd:serviceParam wikibase:language ""en"". }
}
ORDER BY DESC(?admission)
LIMIT 1","{'head': {'vars': ['state', 'stateLabel', 'admission']}, 'results': {'bindings': [{'state': {'type': 'uri', 'value': 'http://www.wikidata.org/entity/Q797'}, 'admission': {'datatype': 'http://www.w3.org/2001/XMLSchema#dateTime', 'type': 'literal', 'value': '1959-01-03T00:00:00Z'}, 'stateLabel': {'xml:lang': 'en', 'type': 'literal', 'value': 'Alaska'}}]}}",1,['Alaska'],Alaska
13,What is the longest lake in the world?,What da longest lake in da world?,"SELECT ?lake ?lakeLabel ?length WHERE {
  ?lake wdt:P31/wdt:P279* wd:Q23397.
  ?lake wdt:P2043 ?length.
  SERVICE wikibase:label { bd:serviceParam wikibase:language ""en"". }
}
ORDER BY DESC(?length)
LIMIT 1","{'head': {'vars': ['lake', 'lakeLabel', 'length']}, 'results': {'bindings': [{'lake': {'type': 'uri', 'value': 'http://www.wikidata.org/entity/Q26838793'}, 'length': {'datatype': 'http://www.w3.org/2001/XMLSchema#decimal', 'type': 'literal', 'value': '9300'}, 'lakeLabel': {'xml:lang': 'en', 'type': 'literal', 'value': 'Faydat Umm Shuwayjah'}}]}}",1,['Faydat Umm Shuwayjah'],Faydat Umm Shuwayjah
14,How many teams did Matthew Stafford play for?,How many teams Matthew Stafford done played for?,"SELECT (COUNT(DISTINCT ?team) AS ?teamCount) WHERE {
  ?person rdfs:label ""Matthew Stafford""@en;
          wdt:P31 wd:Q5;
          wdt:P54 ?team.
  SERVICE wikibase:label { bd:serviceParam wikibase:language ""en"". }
}","{'head': {'vars': ['teamCount']}, 'results': {'bindings': [{'teamCount': {'datatype': 'http://www.w3.org/2001/XMLSchema#integer', 'type': 'literal', 'value': '1'}}]}}",1,[],2
15,"Where was the singer of ""Genie in a Bottle"" born?",Where da singer of Genie in a Bottle born at?,"SELECT ?singer ?singerLabel ?birthplace ?birthplaceLabel WHERE {
  ?song rdfs:label ""Genie in a Bottle""@en;
        wdt:P31 ?type;
        wdt:P175 ?singer.
  VALUES ?type { wd:Q7366 wd:Q134556 }
  ?singer wdt:P19 ?birthplace.
  SERVICE wikibase:label { bd:serviceParam wikibase:language ""en"". }
}","{'head': {'vars': ['singer', 'singerLabel', 'birthplace', 'birthplaceLabel']}, 'results': {'bindings': [{'singer': {'type': 'uri', 'value': 'http://www.wikidata.org/entity/Q41594'}, 'birthplace': {'type': 'uri', 'value': 'http://www.wikidata.org/entity/Q18432'}, 'singerLabel': {'xml:lang': 'en', 'type': 'literal', 'value': 'Christina Aguilera'}, 'birthplaceLabel': {'xml:lang': 'en', 'type': 'literal', 'value': 'Staten Island'}}, {'singer': {'type': 'uri', 'value': 'http://www.wikidata.org/entity/Q41594'}, 'birthplace': {'type': 'uri', 'value': 'http://www.wikidata.org/entity/Q18432'}, 'singerLabel': {'xml:lang': 'en', 'type': 'literal', 'value': 'Christina Aguilera'}, 'birthplaceLabel': {'xml:lang': 'en', 'type': 'literal', 'value': 'Staten Island'}}]}}",1,"['Christina Aguilera', 'Staten Island']",Staten Island
16,When did Metallica drop their fourth album?,When Metallica drop dey fourth album?,"SELECT ?album ?albumLabel (MIN(?d) AS ?date) WHERE {
  ?album wdt:P31/wdt:P279* wd:Q208569;
         wdt:P175 wd:Q11649;
         wdt:P577 ?d.
  SERVICE wikibase:label { bd:serviceParam wikibase:language ""en"". }
}
GROUP BY ?album ?albumLabel
ORDER BY ASC(?date)
OFFSET 3
LIMIT 1","{'head': {'vars': ['album', 'albumLabel', 'date']}, 'results': {'bindings': []}}",1,,"November 13, 2008"
17,"Which series was older, Metroid or Super Mario Bros?","Which series older, Metroid or Super Mario Bros?","SELECT ?series ?seriesLabel ?firstRelease WHERE {
  VALUES ?seedLabel { ""Metroid""@en ""Super Mario Bros.""@en }
  ?seedGame rdfs:label ?seedLabel;
            wdt:P31 wd:Q7889;
            wdt:P179 ?series.
  {
    SELECT ?series (MIN(?date) AS ?firstRelease) WHERE {
      ?game wdt:P179 ?series;
            wdt:P31 wd:Q7889;
            wdt:P577 ?date.
    } GROUP BY ?series
  }
  SERVICE wikibase:label { bd:serviceParam wikibase:language ""en"". }
}
ORDER BY ?firstRelease
LIMIT 2","{'head': {'vars': ['series', 'seriesLabel', 'firstRelease']}, 'results': {'bindings': [{'series': {'type': 'uri', 'value': 'http://www.wikidata.org/entity/Q4802838'}, 'firstRelease': {'datatype': 'http://www.w3.org/2001/XMLSchema#dateTime', 'type': 'literal', 'value': '1985-01-01T00:00:00Z'}, 'seriesLabel': {'xml:lang': 'en', 'type': 'literal', 'value': 'Super Mario'}}, {'series': {'type': 'uri', 'value': 'http://www.wikidata.org/entity/Q12397'}, 'firstRelease': {'datatype': 'http://www.w3.org/2001/XMLSchema#dateTime', 'type': 'literal', 'value': '1986-08-01T00:00:00Z'}, 'seriesLabel': {'xml:lang': 'en', 'type': 'literal', 'value': 'Metroid'}}]}}",1,['Super Mario'],Super Mario Bros
18,In which Super Mario Land game you not play as Mario?,In which Super Mario Land game you ain't play as Mario?,"SELECT ?item ?itemLabel WHERE {
  ?item wdt:P31 wd:Q7889.
  ?item rdfs:label ?label.
  FILTER(LANG(?label) = ""en"").
  FILTER(CONTAINS(?label, ""Super Mario Land"")).
  FILTER NOT EXISTS { ?item wdt:P674 wd:Q1406. }
  SERVICE wikibase:label { bd:serviceParam wikibase:language ""en"". }
}","{'head': {'vars': ['item', 'itemLabel']}, 'results': {'bindings': [{'item': {'type': 'uri', 'value': 'http://www.wikidata.org/entity/Q596392'}, 'itemLabel': {'xml:lang': 'en', 'type': 'literal', 'value': 'Super Mario Land 2: 6 Golden Coins'}}, {'item': {'type': 'uri', 'value': 'http://www.wikidata.org/entity/Q1634866'}, 'itemLabel': {'xml:lang': 'en', 'type': 'literal', 'value': 'Wario Land: Super Mario Land 3'}}, {'item': {'type': 'uri', 'value': 'http://www.wikidata.org/entity/Q647249'}, 'itemLabel': {'xml:lang': 'en', 'type': 'literal', 'value': 'Super Mario Land'}}]}}",1,['Super Mario Land 2: 6 Golden Coins'],Super Mario Land 2: 6 Golden Coins
19,Is Texas the largest state in the U.S.?,Is Texas da largest state in da US?,"SELECT ?isLargest ?texas ?texasLabel ?largestState ?largestStateLabel ?txArea ?maxArea WHERE {
  BIND(wd:Q1439 AS ?texas)
  ?texas wdt:P2046 ?txArea.
  {
    SELECT (MAX(?area) AS ?maxArea) WHERE {
      ?s wdt:P31 wd:Q35657;
         wdt:P2046 ?area.
    }
  }
  OPTIONAL {
    ?largestState wdt:P31 wd:Q35657;
                  wdt:P2046 ?maxArea.
  }
  BIND(IF(?txArea = ?maxArea, true, false) AS ?isLargest)
  SERVICE wikibase:label { bd:serviceParam wikibase:language ""en"". }
}","{'head': {'vars': ['isLargest', 'texas', 'texasLabel', 'largestState', 'largestStateLabel', 'txArea', 'maxArea']}, 'results': {'bindings': [{'maxArea': {'datatype': 'http://www.w3.org/2001/XMLSchema#decimal', 'type': 'literal', 'value': '1717856'}, 'largestState': {'type': 'uri', 'value': 'http://www.wikidata.org/entity/Q797'}, 'texas': {'type': 'uri', 'value': 'http://www.wikidata.org/entity/Q1439'}, 'txArea': {'datatype': 'http://www.w3.org/2001/XMLSchema#decimal', 'type': 'literal', 'value': '696241'}, 'texasLabel': {'xml:lang': 'en', 'type': 'literal', 'value': 'Texas'}, 'largestStateLabel': {'xml:lang': 'en', 'type': 'literal', 'value': 'Alaska'}, 'isLargest': {'datatype': 'http://www.w3.org/2001/XMLSchema#boolean', 'type': 'literal', 'value': 'false'}}]}}",1,"['Texas', 'Alaska']",no
20,How many times did the Los Angeles Dodgers lose the World Series?,How many times da Los Angeles Dodgers lost da World Series?,"SELECT (COUNT(DISTINCT ?ws) AS ?count) WHERE {
  VALUES ?team { wd:Q1155894 wd:Q171582 wd:Q467426 }
  ?ws wdt:P629 wd:Q81021;
      wdt:P1346 ?winner.
  FILTER(?winner != ?team)
  { ?ws wdt:P710 ?team } UNION { ?ws wdt:P1923 ?team }.
  SERVICE wikibase:label { bd:serviceParam wikibase:language ""en"". }
}","{'head': {'vars': ['count']}, 'results': {'bindings': [{'count': {'datatype': 'http://www.w3.org/2001/XMLSchema#integer', 'type': 'literal', 'value': '0'}}]}}",1,[],two
21,Who was the president of Argentina from 1989 to 1999?,Who was da president of Argentina from 1989 to 1999?,"PREFIX wd: <http://www.wikidata.org/entity/>
PREFIX wdt: <http://www.wikidata.org/prop/direct/>
PREFIX p: <http://www.wikidata.org/prop/>
PREFIX ps: <http://www.wikidata.org/prop/statement/>
PREFIX pq: <http://www.wikidata.org/prop/qualifier/>
PREFIX bd: <http://www.bigdata.com/rdf#>
PREFIX wikibase: <http://wikiba.se/ontology#>

SELECT ?person ?personLabel WHERE {
  wd:Q414 p:P6 ?statement.
  ?statement ps:P6 ?person;
             pq:P580 ?start;
             pq:P582 ?end.
  FILTER(YEAR(?start) = 1989 && YEAR(?end) = 1999)
  SERVICE wikibase:label { bd:serviceParam wikibase:language ""en"". }
}","{'head': {'vars': ['person', 'personLabel']}, 'results': {'bindings': []}}",1,,I don't know
22,"Who was a member of the 2004 U.S. Olympic men's swim team and was born in Baltimore, Maryland?","Who was a member of da 2004 U.S. Olympic men’s swim team and born in Baltimore, Maryland?","SELECT ?item ?itemLabel WHERE {
  ?item wdt:P31 wd:Q5;
        wdt:P19 wd:Q5092;
        wdt:P21 wd:Q6581097;
        wdt:P27 wd:Q30;
        wdt:P1344 ?event.
  ?event (wdt:P361*) ?parentEvent.
  ?parentEvent rdfs:label ""Swimming at the 2004 Summer Olympics""@en.
  SERVICE wikibase:label { bd:serviceParam wikibase:language ""en"". }
}","{'head': {'vars': ['item', 'itemLabel']}, 'results': {'bindings': []}}",1,,I don't know
23,Have the Los Angeles Rams won a Super Bowl ring since they came back to Los Angeles?,Have the Los Angeles Rams won a Super Bowl ring since they came back to Los Angeles?,"SELECT (IF(COUNT(?sb) > 0, ""Yes"", ""No"") AS ?wonSinceReturn) WHERE {
  ?team rdfs:label ""Los Angeles Rams""@en.
  {
    SELECT ?team (MAX(?start) AS ?returnDate) WHERE {
      ?team p:P159 ?st.
      ?st ps:P159 ?city.
      ?city rdfs:label ""Los Angeles""@en.
      OPTIONAL { ?st pq:P580 ?start. }
    } GROUP BY ?team
  }
  ?sb wdt:P1346 ?team.
  ?sb wdt:P179 ?series.
  ?series rdfs:label ""Super Bowl""@en.
  ?sb wdt:P585 ?date.
  FILTER(?date >= ?returnDate)
  SERVICE wikibase:label { bd:serviceParam wikibase:language ""en"". }
}","{'head': {'vars': ['wonSinceReturn']}, 'results': {'bindings': [{'wonSinceReturn': {'type': 'literal', 'value': 'No'}}]}}",1,[],yes
24,What governors of Ohio since 2000 have not been Republican?,What governors of Ohio since 2000 ain't been Republican?,"SELECT DISTINCT ?person ?personLabel ?start ?end WHERE {
  BIND(wd:Q1397 AS ?state)
  ?state wdt:P1313 ?office.
  ?person p:P39 ?posStmt.
  ?posStmt ps:P39 ?office.
  OPTIONAL { ?posStmt pq:P580 ?start. }
  OPTIONAL { ?posStmt pq:P582 ?end. }
  BIND(""2000-01-01T00:00:00Z""^^xsd:dateTime AS ?cutoff)
  FILTER( (BOUND(?end) && ?end >= ?cutoff) || (!BOUND(?end) && BOUND(?start) && ?start >= ?cutoff) )
  FILTER NOT EXISTS { ?person wdt:P102 wd:Q29468. }
  SERVICE wikibase:label { bd:serviceParam wikibase:language ""en"". }
}
ORDER BY ?start","{'head': {'vars': ['person', 'personLabel', 'start', 'end']}, 'results': {'bindings': [{'person': {'type': 'uri', 'value': 'http://www.wikidata.org/entity/Q465295'}, 'personLabel': {'xml:lang': 'en', 'type': 'literal', 'value': 'Ted Strickland'}, 'start': {'datatype': 'http://www.w3.org/2001/XMLSchema#dateTime', 'type': 'literal', 'value': '2007-01-08T00:00:00Z'}, 'end': {'datatype': 'http://www.w3.org/2001/XMLSchema#dateTime', 'type': 'literal', 'value': '2011-01-10T00:00:00Z'}}]}}",1,['Ted Strickland'],Ted Strickland
25,Has no one ever been a Christian U.S. senator?,Ain't nobody ever been no Christian U.S. senator?,"SELECT ?count (IF(?count=0, true, false) AS ?noOne) WHERE {
  {
    SELECT (COUNT(DISTINCT ?person) AS ?count) WHERE {
      ?person wdt:P39 ?pos.
      ?pos wdt:P194 wd:Q11268.
      ?person wdt:P140/wdt:P279* wd:Q5043.
    }
  }
  SERVICE wikibase:label { bd:serviceParam wikibase:language ""en"". }
}","{'head': {'vars': ['count', 'noOne']}, 'results': {'bindings': [{'count': {'datatype': 'http://www.w3.org/2001/XMLSchema#integer', 'type': 'literal', 'value': '0'}, 'noOne': {'datatype': 'http://www.w3.org/2001/XMLSchema#boolean', 'type': 'literal', 'value': 'true'}}]}}",1,[],no
