Unnamed: 0,AAVE Question,SAE Question,SPARQL,Results,Attempts,names,Answer
37,"Who older, Drew Barrymore or Neve Campbell?","Who is older, Drew Barrymore or Neve Campbell?",,{},0,,Drew Barrymore
38,Was The Ring come out before 2005?,When did The Ring come out?,"SELECT (MIN(?publicationDate) AS ?firstReleaseDate) WHERE {
  wd:Q200092 wdt:P577 ?publicationDate.
  SERVICE wikibase:label { bd:serviceParam wikibase:language ""en"". }
}","{'head': {'vars': ['firstReleaseDate']}, 'results': {'bindings': [{}]}}",1,,no
39,"Who older, Jodie Foster or Julia Roberts?","Who is older, Jodie Foster or Julia Roberts?","SELECT ?person ?personLabel ?birthDate WHERE {
  VALUES ?article {
    <https://en.wikipedia.org/wiki/Jodie_Foster>
    <https://en.wikipedia.org/wiki/Julia_Roberts>
  }
  ?article schema:about ?person ;
           schema:inLanguage ""en"" ;
           schema:isPartOf <https://en.wikipedia.org/> .
  ?person wdt:P569 ?birthDate .
  SERVICE wikibase:label { bd:serviceParam wikibase:language ""en"". }
}
ORDER BY ASC(?birthDate)
LIMIT 1","{'head': {'vars': ['person', 'personLabel', 'birthDate']}, 'results': {'bindings': [{'person': {'type': 'uri', 'value': 'http://www.wikidata.org/entity/Q41351'}, 'birthDate': {'datatype': 'http://www.w3.org/2001/XMLSchema#dateTime', 'type': 'literal', 'value': '1962-11-19T00:00:00Z'}, 'personLabel': {'xml:lang': 'en', 'type': 'literal', 'value': 'Jodie Foster'}}]}}",1,Jodie Foster,Julia Roberts
40,"Who taller, Angelina Jolie or Brad Pitt?","Who is taller, Angelina Jolie or Brad Pitt?","SELECT ?person ?personLabel ?height WHERE {
  VALUES ?person { wd:Q13909 wd:Q35332 }
  ?person wdt:P2048 ?height.
  SERVICE wikibase:label { bd:serviceParam wikibase:language ""en"". }
}
ORDER BY DESC(?height)
LIMIT 1","{'head': {'vars': ['person', 'personLabel', 'height']}, 'results': {'bindings': [{'person': {'type': 'uri', 'value': 'http://www.wikidata.org/entity/Q35332'}, 'height': {'datatype': 'http://www.w3.org/2001/XMLSchema#decimal', 'type': 'literal', 'value': '180'}, 'personLabel': {'xml:lang': 'en', 'type': 'literal', 'value': 'Brad Pitt'}}]}}",1,Brad Pitt,Brad Pitt
41,Is Jake Gyllenhaal older than Maggie Gyllenhaal?,Is Jake Gyllenhaal older than Maggie Gyllenhaal?,,{},0,,Jake Gyllenhaal
42,Was Parasite come out after 2015?,Did Parasite come out after 2015?,,{},0,,no
43,Did Citizen Kane come out before 1950?,Did the movie Citizen Kane come out before 1950?,"PREFIX wd: <http://www.wikidata.org/entity/>
PREFIX wdt: <http://www.wikidata.org/prop/direct/>
PREFIX wikibase: <http://wikiba.se/ontology#>
PREFIX bd: <http://www.bigdata.com/rdf#>
PREFIX rdfs: <http://www.w3.org/2000/01/rdf-schema#>
PREFIX xsd: <http://www.w3.org/2001/XMLSchema#>

ASK WHERE {
  ?film wdt:P31 wd:Q11424;
        rdfs:label ""Citizen Kane""@en;
        wdt:P577 ?date.
  FILTER (?date < ""1950-01-01T00:00:00Z""^^xsd:dateTime)
  SERVICE wikibase:label { bd:serviceParam wikibase:language ""en"". }
}","{'head': {}, 'boolean': True}",1,,yes
44,Is Tom Cruise younger than Denzel Washington?,Is Tom Cruise younger than Denzel Washington?,,{},0,,Denzel Washington
45,Was Avatar's budget mo' than $200 million?,Was Avatar's budget more than $200 million?,,{},0,,no
46,"Which movie had a higher lifetime gross, Titanic or Avatar?","Which movie had a higher lifetime gross, Titanic or Avatar?",,{},0,,Avatar
47,"Which movie made mo' money, Jurassic World or The Lion King?","Which movie made more money, Jurassic World or The Lion King?",,{},0,,The Lion King
48,"Which Netflix series been watched more, Tiger King or The Queen's Gambit?","Which Netflix series has been watched more, Tiger King or The Queen's Gambit?",,{},0,,Tiger King
49,"Which Netflix series been watched more, Bridgerton or Tiger King?","Which Netflix series has been watched more, Bridgerton or Tiger King?",,{},0,,Tiger King
50,"Which one make more money in 2020, 1917 or Bad Boys for Life?","In what year did Mandela become the President of South Africa, and how long did he remain in office?","SELECT ?startYear ?durationYears WHERE {
  wd:Q258 p:P35 ?st.
  ?st ps:P35 wd:Q8023;
      pq:P580 ?start;
      pq:P582 ?end.
  BIND(year(?start) AS ?startYear)
  BIND(year(?end) - year(?start) AS ?durationYears)
  SERVICE wikibase:label { bd:serviceParam wikibase:language ""en"". }
}
LIMIT 1","{'head': {'vars': ['startYear', 'durationYears']}, 'results': {'bindings': []}}",1,,Bad Boys for Life
51,Is Tom Hanks older den Ron Howard?,Is Tom Hanks older than Ron Howard?,"SELECT ?tom ?tomLabel ?tomDOB ?ron ?ronLabel ?ronDOB ?isTomOlder WHERE {
  ?article1 schema:about ?tom;
            schema:inLanguage ""en"";
            schema:isPartOf <https://en.wikipedia.org/>;
            schema:name ""Tom Hanks"".
  ?tom wdt:P569 ?tomDOB.
  ?article2 schema:about ?ron;
            schema:inLanguage ""en"";
            schema:isPartOf <https://en.wikipedia.org/>;
            schema:name ""Ron Howard"".
  ?ron wdt:P569 ?ronDOB.
  BIND(?tomDOB < ?ronDOB AS ?isTomOlder)
  SERVICE wikibase:label { bd:serviceParam wikibase:language ""en"". }
}","{'head': {'vars': ['tom', 'tomLabel', 'tomDOB', 'ron', 'ronLabel', 'ronDOB', 'isTomOlder']}, 'results': {'bindings': []}}",1,,yes
52,Did Avatar come out before 2000?,Did the movie Avatar come out before the year 2000?,,{},0,,yes
53,Did Hurt Locker or Avatar have da smaller budget?,"Which movie had the smaller budget, Hurt Locker or Avatar?",,{},0,,Hurt Locker
54,Did Avatar come out before 2010?,Did the movie Avatar come out before 2010?,,{},0,,no
55,Did Searching come out the same year as Halloween?,Did Searching come out the same year as Halloween?,,{},0,,no
56,Is Henry Cavill taller den Ben Affleck?,Is Henry Cavill taller than Ben Affleck?,,{},0,,yes
57,Did Inception have a bigger budget than Dunkirk?,Did Inception have a bigger budget than Dunkirk?,,{},0,,no
58,Did da Thing come out before Halloween?,Did The Thing come out before Halloween?,"SELECT ?thing ?thingLabel ?thingDate ?halloween ?halloweenLabel ?halloweenDate (?thingDate < ?halloweenDate AS ?theThingBeforeHalloween) WHERE {
  {
    SELECT ?thing (MIN(?d) AS ?thingDate) WHERE {
      ?thingArticle schema:about ?thing;
                    schema:isPartOf <https://en.wikipedia.org/>;
                    schema:name ""The Thing (1982 film)""@en.
      ?thing wdt:P577 ?d.
    } GROUP BY ?thing
  }
  {
    SELECT ?halloween (MIN(?d2) AS ?halloweenDate) WHERE {
      ?halloweenArticle schema:about ?halloween;
                        schema:isPartOf <https://en.wikipedia.org/>;
                        schema:name ""Halloween (1978 film)""@en.
      ?halloween wdt:P577 ?d2.
    } GROUP BY ?halloween
  }
  SERVICE wikibase:label { bd:serviceParam wikibase:language ""en"". }
}","{'head': {'vars': ['thing', 'thingLabel', 'thingDate', 'halloween', 'halloweenLabel', 'halloweenDate', 'theThingBeforeHalloween']}, 'results': {'bindings': [{'thing': {'type': 'uri', 'value': 'http://www.wikidata.org/entity/Q210756'}, 'thingDate': {'datatype': 'http://www.w3.org/2001/XMLSchema#dateTime', 'type': 'literal', 'value': '1982-01-01T00:00:00Z'}, 'halloween': {'type': 'uri', 'value': 'http://www.wikidata.org/entity/Q221103'}, 'halloweenDate': {'datatype': 'http://www.w3.org/2001/XMLSchema#dateTime', 'type': 'literal', 'value': '1978-10-25T00:00:00Z'}, 'thingLabel': {'xml:lang': 'en', 'type': 'literal', 'value': 'The Thing'}, 'halloweenLabel': {'xml:lang': 'en', 'type': 'literal', 'value': 'Halloween'}, 'theThingBeforeHalloween': {'datatype': 'http://www.w3.org/2001/XMLSchema#boolean', 'type': 'literal', 'value': 'false'}}]}}",1,The Thing,yes
59,Is Brad Pitt older den Leonardo DiCaprio?,Is Brad Pitt older than Leonardo DiCaprio?,,{},0,,no
60,"Who younger, Al Pacino or Robert De Niro?","Who is younger, Al Pacino or Robert De Niro?",,{},0,,Robert De Niro
61,Was Train to Busan drop the same year as John Wick 2?,Did Train to Busan come out the same year as John Wick 2?,,{},0,,no
62,Do Michael Douglas an' Catherine Zeta-Jones got da same birthday?,Do Michael Douglas and Catherine Zeta-Jones have the same birthday?,,{},0,,no
63,"Who done won more Academy Awards, Helen Mirren or Cate Blanchett?","Who has won more Academy Awards, Helen Mirren or Cate Blanchett?",,{},0,,Helen Mirren
64,"Which horror movie made more money at da US Box Office, The Happening (2008) or The Conjuring (2013)?","Which horror movie made more money at the US Box Office, The Happening (2008) or The Conjuring (2013)?",,{},0,,The Conjuring
65,"Who got dey first movie credit as an actor first, George Clooney or Matt Damon?","Who was the first to receive their first movie credit as an actor, George Clooney or Matt Damon?",,{},0,,George Clooney
66,"Which actor taller, The Rock or Terry Crews?","Which actor is taller, The Rock or Terry Crews?",,{},0,,Terry Crews
67,Did da original Ocean's Eleven come out afta 1965?,When did the original Ocean's Eleven come out?,,{},0,,no
68,Was Pixar's Soul an Onward dropped in da same year?,Was Pixar's Soul released in the same year as Onward?,,{},0,,no
69,Did Tom Hanks get his first Academy Award nomination for Big or Sleepless in Seattle?,"In what movie did Tom Hanks first receive an Academy Award nomination, Big or Sleepless in Seattle?",,{},0,,Big
70,Did Avengers: Endgame have a bigger budget den Avengers: Infinity War?,Did Avengers: Endgame have a bigger budget than Avengers: Infinity War?,,{},0,,no
71,"Who older, Anna Faris or Jennifer Aniston?","Who is older, Anna Faris or Jennifer Aniston?","SELECT ?item ?itemLabel ?dob WHERE {
  VALUES ?name { ""Anna Faris""@en ""Jennifer Aniston""@en }
  ?item wdt:P31 wd:Q5;
        rdfs:label ?name;
        wdt:P569 ?dob.
  SERVICE wikibase:label { bd:serviceParam wikibase:language ""en"". }
}
ORDER BY ?dob
LIMIT 1","{'head': {'vars': ['item', 'itemLabel', 'dob']}, 'results': {'bindings': [{'item': {'type': 'uri', 'value': 'http://www.wikidata.org/entity/Q32522'}, 'dob': {'datatype': 'http://www.w3.org/2001/XMLSchema#dateTime', 'type': 'literal', 'value': '1969-02-11T00:00:00Z'}, 'itemLabel': {'xml:lang': 'en', 'type': 'literal', 'value': 'Jennifer Aniston'}}]}}",1,Jennifer Aniston,Jennifer Aniston
72,Did Twilight come out before '95?,Did Twilight come out before 1995?,,{},0,,yes
73,Did The Twilight Saga: New Moon come out 'fore 1995?,Did The Twilight Saga: New Moon come out before 1995?,,{},0,,no
74,Was the series 24 come out before Designated Survivor?,Did the series 24 come out before Designated Survivor?,,{},0,,no
75,"Who started actin' earlier, Kevin Spacey or Kiefer Sutherland?","Who started acting earlier, Kevin Spacey or Kiefer Sutherland?","SELECT ?person ?personLabel (MIN(?start) AS ?earliestStart) WHERE {
  VALUES ?name {""Kevin Spacey""@en ""Kiefer Sutherland""@en}
  ?person rdfs:label ?name.
  ?person wdt:P31 wd:Q5.
  ?person wdt:P2031 ?start.
  SERVICE wikibase:label { bd:serviceParam wikibase:language ""en"". }
}
GROUP BY ?person ?personLabel
ORDER BY ?earliestStart
LIMIT 1","{'head': {'vars': ['person', 'personLabel', 'earliestStart']}, 'results': {'bindings': [{'person': {'type': 'uri', 'value': 'http://www.wikidata.org/entity/Q25144'}, 'personLabel': {'xml:lang': 'en', 'type': 'literal', 'value': 'Kevin Spacey'}, 'earliestStart': {'datatype': 'http://www.w3.org/2001/XMLSchema#dateTime', 'type': 'literal', 'value': '1981-01-01T00:00:00Z'}}]}}",1,Kevin Spacey,Kevin Spacey
76,"Which movie made mo' money, Avatar or Spectre?","Which movie made more money, Avatar or Spectre?","SELECT ?film ?filmLabel ?box WHERE {
  {
    ?film wdt:P31 wd:Q11424;
          rdfs:label ""Avatar""@en;
          wdt:P577 ?date;
          wdt:P2142 ?box.
    FILTER(YEAR(?date)=2009)
  }
  UNION
  {
    ?film wdt:P31 wd:Q11424;
          rdfs:label ""Spectre""@en;
          wdt:P577 ?date;
          wdt:P2142 ?box.
    FILTER(YEAR(?date)=2015)
  }
  SERVICE wikibase:label { bd:serviceParam wikibase:language ""en"". }
}
ORDER BY DESC(?box)
LIMIT 1","{'head': {'vars': ['film', 'filmLabel', 'box']}, 'results': {'bindings': [{'film': {'type': 'uri', 'value': 'http://www.wikidata.org/entity/Q24871'}, 'box': {'datatype': 'http://www.w3.org/2001/XMLSchema#decimal', 'type': 'literal', 'value': '2847379794'}, 'filmLabel': {'xml:lang': 'en', 'type': 'literal', 'value': 'Avatar'}}]}}",1,Avatar,Avatar
