AAVE Question,SAE Question
"What author done contributed to stuff like ""New Statesmen"", ""The Nation"", and ""The Atlantic"", among others, while also being linked to Dysteleology?","What author contributed to works such as ""New Statesmen"", ""The Nation"", and ""The Atlantic"", among others, while also being associated with Dysteleology?"
Who made da prototype pacemaker used by da 34th President of da USA?,Who made the prototype pacemaker used by the 34th President of the USA?
Which publishin' company done published Bizarre and a sister publication 'bout da anomalous phenomena popularized by Charles Fort?,Which publishing company published Bizarre and a sister publication about the anomalous phenomena popularized by Charles Fort?
"Who performed da lead single on da album Friends in Low Places, No Fences, dat reached #1 on Billboard?","Who performed the lead single on the album Friends in Low Places, No Fences, that reached number one on Billboard?"
Hate to Feel the tenth track on what Alice in Chains' album dat peaked at number six on da Billboard 200?,In what year did the tenth track on Alice in Chains' album peak at number six on the Billboard 200?
"Da lead singer an guitarist in da Portland, Oregon rock band wit John Gourley, Zach Carothers, Kyle O'Quin, Jason Sechrist an Eric Howk, go by what alias?","What alias do the lead singer and guitarist in the Portland, Oregon rock band with John Gourley, Zach Carothers, Kyle O'Quin, Jason Sechrist, and Eric Howk go by?"
What year da winner of da 2016 Marrakesh ePrix born?,In what year was the winner of the 2016 Marrakesh ePrix born?
"South Korean actor Kim Yool-ho starred in what 2016 movie directed by Yeon Sang-ho and starring actors Gong Yoo, Jung Yu-mi, and Ma Dong-seok?","In what 2016 movie did South Korean actor Kim Yool-ho star, directed by Yeon Sang-ho and starring actors Gong Yoo, Jung Yu-mi, and Ma Dong-seok?"
"Accordin' to da 2006 census, what’s da population of da city where James Iroha Uchechukwu was born?","According to the 2006 census, what is the population of the city where James Iroha Uchechukwu was born?"
What actor in da movie D.C. Cab also had a role in da TV show Barney Miller?,What actor in the movie D.C. Cab also had a role in the TV show Barney Miller?
Which industry Richard Hawley an' Chicago's Catherine belong to?,Which industry does Richard Hawley and Chicago's Catherine belong to?
Is Pam Veasey an' Jon Jost both American?,Are Pam Veasey and Jon Jost both American?
Maurice Hines and his brother was famous for what?,What was Maurice Hines and his brother famous for?
Is da New Orleans Outfall Canals da same length as da Augusta Canal?,Is the New Orleans Outfall Canals the same length as the Augusta Canal?
Which stadium da teams owned by Myra Kraft's husband play at?,Which stadium do the teams owned by Myra Kraft's husband play at?
What southern California based band done covered Blue Öyster Cult's Godzilla?,"What Southern California-based band covered Blue Öyster Cult's ""Godzilla""?"
"Da Swedish-British entertainment studio executive and film executive producer, who was da executive producer for a 2016 American action thriller film directed by Babak Najafi, currently serve?","Who is the Swedish-British entertainment studio executive and film executive producer, who was the executive producer for a 2016 American action thriller film directed by Babak Najafi, currently serving?"
"an Emmy Award winner and two-time Tony Award winner, was on episode 15 of da third season of ""Chuck"". what her name?","Who is the Emmy Award winner and two-time Tony Award winner who was on episode 15 of the third season of ""Chuck""?"
"What’s da current name of da Atlanta Mansion built for da daughter of da 41st Mayor of Atlanta, Georgia?","What is the current name of the Atlanta Mansion built for the daughter of the 41st Mayor of Atlanta, Georgia?"
Who came up wit da type of script used in autographs?,Who came up with the type of script used in autographs?
Bout what percentage of da global population is made up of da ethnic group Princess Fragrant was made to improve relations with?,What percentage of the global population is made up of the ethnic group that Princess Fragrant was made to improve relations with?
Who was da Oklahoma politician dat helped bring bout da Boren-McCurdy proposals in 1992?,Who was the Oklahoma politician who helped bring about the Boren-McCurdy proposals in 1992?
The Thoen Stone on display at a museum in what county?,In what county is the Thoen Stone on display at a museum?
Is Children's National Medical Center or MedStar Washington Hospital Center da largest private hospital in D.C.?,Is Children's National Medical Center or MedStar Washington Hospital Center the largest private hospital in D.C.?
