Unnamed: 0,AAVE Question,SAE Question,SPARQL,Results,Attempts,names,Answer
10,"Fast Cars, Danger, Fire and Knives got guest appearances from which hip hop record executive?","Which hip hop record executive made guest appearances on Fast Cars, Danger, Fire and Knives?","SELECT DISTINCT ?person ?personLabel WHERE {
  ?release rdfs:label ""Fast Cars, Danger, Fire and Knives""@en.

  {
    ?release p:P175 ?stmt.
    ?stmt ps:P175 ?person.
    ?stmt pq:P3831 ?role.
    ?role rdfs:label ?roleLabel.
    FILTER(CONTAINS(LCASE(STR(?roleLabel)), ""featur"") || CONTAINS(LCASE(STR(?roleLabel)), ""guest""))
  }
  UNION
  {
    ?release wdt:P527 ?track.
    ?track p:P175 ?tstmt.
    ?tstmt ps:P175 ?person.
    ?tstmt pq:P3831 ?trole.
    ?trole rdfs:label ?troleLabel.
    FILTER(CONTAINS(LCASE(STR(?troleLabel)), ""featur"") || CONTAINS(LCASE(STR(?troleLabel)), ""guest""))
  }

  ?person wdt:P106 ?occ.
  ?occ rdfs:label ?occLabel.
  FILTER(REGEX(LCASE(STR(?occLabel)), ""record label executive|record executive""))

  SERVICE wikibase:label { bd:serviceParam wikibase:language ""en"". }
}","{'head': {'vars': ['person', 'personLabel']}, 'results': {'bindings': []}}",1,,Jay-Z
11,"Gunmen from Laredo starred which narrator of ""Frontier""?","Which narrator of ""Frontier"" did gunmen from Laredo star in?","SELECT DISTINCT ?narrator ?narratorLabel WHERE {
  ?frontier rdfs:label ""Frontier""@en;
            wdt:P2438 ?narrator.
  ?film wdt:P31 wd:Q11424;
        rdfs:label ""Gunmen from Laredo""@en;
        wdt:P161 ?narrator.
  SERVICE wikibase:label { bd:serviceParam wikibase:language ""en"". }
}","{'head': {'vars': ['narrator', 'narratorLabel']}, 'results': {'bindings': []}}",1,,"The narrator of ""Frontier"" is Freddie Smith."
12,Where da form of music played by Die Rhöner Säuwäntzt come from?,Where did the form of music played by Die Rhöner Säuwäntzt come from?,"SELECT DISTINCT ?origin ?originLabel WHERE {
  ?band rdfs:label ""Die Rhöner Säuwäntzt""@de.
  ?band wdt:P136/wdt:P495 ?origin.
  SERVICE wikibase:label { bd:serviceParam wikibase:language ""en"". }
}","{'head': {'vars': ['origin', 'originLabel']}, 'results': {'bindings': [{'origin': {'type': 'uri', 'value': 'http://www.wikidata.org/entity/Q30'}, 'originLabel': {'xml:lang': 'en', 'type': 'literal', 'value': 'United States'}}]}}",1,United States,German folk music
13,In which football game was Malcolm Smith named Most Valuable player?,In which football game was Malcolm Smith named Most Valuable Player?,"SELECT ?game ?gameLabel WHERE {
  # Identify Malcolm Smith (born 1989)
  ?person wdt:P31 wd:Q5;
          rdfs:label ""Malcolm Smith""@en;
          wdt:P569 ?dob.
  FILTER (YEAR(?dob) = 1989)

  {
    # Participant in event with role ""Most Valuable Player""
    ?person p:P1344 ?partStmt.
    ?partStmt ps:P1344 ?game;
              pq:P2868 ?role.
    ?role rdfs:label ?roleLabel.
    FILTER(CONTAINS(LCASE(?roleLabel), ""most valuable player""))
    ?game wdt:P179 wd:Q41487.  # Super Bowl series
  }
  UNION
  {
    # Award received with qualifier linking to the game
    ?person p:P166 ?awardStmt.
    ?awardStmt ps:P166 ?award.
    ?award rdfs:label ?awardLabel.
    FILTER(CONTAINS(LCASE(?awardLabel), ""most valuable player""))
    ?awardStmt pq:P642 ?game.
    ?game wdt:P179 wd:Q41487.  # Super Bowl series
  }

  SERVICE wikibase:label { bd:serviceParam wikibase:language ""en"". }
}","{'head': {'vars': ['game', 'gameLabel']}, 'results': {'bindings': []}}",1,,Super Bowl XV
14,"What U.S. Highway give access to Zilpo Road, and is also known as Midland Trail?",What U.S. Highway provides access to Zilpo Road and is also known as Midland Trail?,"SELECT ?highway ?highwayLabel WHERE {
  ?highway (rdfs:label|skos:altLabel) ""Midland Trail""@en.
  {
    ?highway wdt:P2789 ?zilpo.
  } UNION {
    ?zilpo wdt:P2789 ?highway.
  }
  ?zilpo (rdfs:label|skos:altLabel) ""Zilpo Road""@en.
  SERVICE wikibase:label { bd:serviceParam wikibase:language ""en"". }
  FILTER(REGEX(STR(?highwayLabel), ""^U\\.?S\\.?\\s+(Route|Highway)\\b"", ""i""))
}","{'head': {'vars': ['highway', 'highwayLabel']}, 'results': {'bindings': []}}",1,,US 62
15,"Da 1988 American comedy film, The Great Outdoors, starred a four-time Academy Award nominee, who got a star on da Hollywood Walk of Fame in what year?","In what year did the four-time Academy Award nominee who starred in the 1988 American comedy film, The Great Outdoors, get a star on the Hollywood Walk of Fame?","SELECT DISTINCT ?year WHERE {
  ?film wdt:P31 wd:Q11424;
        rdfs:label ""The Great Outdoors""@en;
        wdt:P577 ?pubdate.
  FILTER(YEAR(?pubdate) = 1988)

  ?film wdt:P161 ?person.

  {
    SELECT ?person WHERE {
      ?person wdt:P1411 ?nom .
      ?nom wdt:P361 wd:Q19020 .
    }
    GROUP BY ?person
    HAVING (COUNT(DISTINCT ?nom) >= 4)
  }

  ?person p:P166 ?st .
  ?st ps:P166 ?award .
  ?award rdfs:label ?al .
  FILTER(LANG(?al) = ""en"" && CONTAINS(LCASE(?al), ""hollywood walk of fame""))
  OPTIONAL { ?st pq:P585 ?d1 }
  OPTIONAL { ?st pq:P580 ?d2 }
  BIND(YEAR(COALESCE(?d1, ?d2)) AS ?year)

  SERVICE wikibase:label { bd:serviceParam wikibase:language ""en"". }
}
LIMIT 1","{'head': {'vars': ['year']}, 'results': {'bindings': []}}",1,,2005
16,What’s da names of da current members of dat American heavy metal band who wrote da music for Hurt Locker Da Musical?,What are the names of the current members of that American heavy metal band who wrote the music for Hurt Locker: The Musical?,"SELECT DISTINCT ?member ?memberLabel WHERE {
  ?work rdfs:label ""Hurt Locker: The Musical""@en.
  ?work wdt:P86 ?band.
  ?band wdt:P136 ?genre.
  ?genre wdt:P279* wd:Q38848.
  FILTER(
    EXISTS { ?band wdt:P17 wd:Q30 } ||
    EXISTS { ?band wdt:P495 wd:Q30 } ||
    EXISTS { ?band wdt:P740/wdt:P17 wd:Q30 }
  ).
  ?member wdt:P31 wd:Q5.
  ?member p:P463 ?membership.
  ?membership ps:P463 ?band.
  FILTER NOT EXISTS { ?membership pq:P582 ?end }.
  SERVICE wikibase:label { bd:serviceParam wikibase:language ""en"". }
}","{'head': {'vars': ['member', 'memberLabel']}, 'results': {'bindings': []}}",1,,Jason Derulo
17,"Human Error"" da season finale of da third season of a tv show dat aired on what network?","What network did the season finale of ""Human Error,"" the third season of a TV show, air on?","SELECT DISTINCT ?network ?networkLabel WHERE {
  ?episode wdt:P31 wd:Q21191270;
           rdfs:label ""Human Error""@en.
  { ?episode wdt:P361 ?season. } UNION { ?episode wdt:P179 ?season. }
  ?season wdt:P31 wd:Q3464665.
  ?season p:P179 ?seriesStmt.
  ?seriesStmt ps:P179 ?series;
              pq:P1545 ""3"".
  FILTER NOT EXISTS {
    ?otherEpisode wdt:P31 wd:Q21191270.
    { ?otherEpisode wdt:P361 ?season. } UNION { ?otherEpisode wdt:P179 ?season. }
    ?otherEpisode wdt:P155 ?episode.
  }
  ?episode wdt:P449 ?network.
  SERVICE wikibase:label { bd:serviceParam wikibase:language ""en"". }
}","{'head': {'vars': ['network', 'networkLabel']}, 'results': {'bindings': []}}",1,,Fox
18,"Dua Lipa, an English singer, songwriter an' model, da album spawned da number-one single ""New Rules"" is a song by English singer Dua Lipa from her eponymous debut studio album, released in what year?","In what year was Dua Lipa's eponymous debut studio album, which spawned the number-one single ""New Rules,"" released?","SELECT (YEAR(?date) AS ?year) WHERE {
  ?album rdfs:label ""Dua Lipa""@en;
         wdt:P175 ?artist;
         wdt:P577 ?date.
  ?artist rdfs:label ""Dua Lipa""@en.
  ?song rdfs:label ""New Rules""@en.
  { ?song wdt:P361 ?album. }
  UNION
  { ?album wdt:P658 ?song. }
  SERVICE wikibase:label { bd:serviceParam wikibase:language ""en"". }
}
LIMIT 1","{'head': {'vars': ['year']}, 'results': {'bindings': [{'year': {'datatype': 'http://www.w3.org/2001/XMLSchema#integer', 'type': 'literal', 'value': '2017'}}]}}",1,2017,2015
19,"American politician Joe Heck ran and ain’t win against Democrat Catherine Cortez Masto, a woman who used to be the 32nd Attorney General of where?","In what state was Catherine Cortez Masto, who previously served as the 32nd Attorney General, from?","SELECT DISTINCT ?state ?stateLabel WHERE {
  wd:Q1071929 p:P39 ?stmt.
  ?stmt pq:P1545 ""32"".
  ?stmt ps:P39 ?position.
  {
    ?position wdt:P1001|wdt:P131 ?state.
  }
  UNION
  {
    ?stmt pq:P642 ?state.
  }
  ?state wdt:P31 wd:Q35657.
  SERVICE wikibase:label { bd:serviceParam wikibase:language ""en"". }
}","{'head': {'vars': ['state', 'stateLabel']}, 'results': {'bindings': []}}",1,,New Jersey
20,"Which state the drug stores, where the CEO Warren Bryant, located?","Which state are the drug stores, where the CEO Warren Bryant, located?","SELECT DISTINCT ?state ?stateLabel WHERE {
  ?store wdt:P169 ?ceo.
  ?ceo rdfs:label ""Warren Bryant""@en.
  ?store wdt:P159 ?hq.
  ?hq wdt:P131* ?state.
  ?state wdt:P31 wd:Q35657.
  SERVICE wikibase:label { bd:serviceParam wikibase:language ""en"". }
}","{'head': {'vars': ['state', 'stateLabel']}, 'results': {'bindings': []}}",1,,New York
