,question,questionEntity,answer
34,"Which movie was released first, Avengers: Endgame or Joker?","[{'name': 'Q42759035', 'entityType': 'entity', 'label': 'Joker', 'mention': 'Joker', 'span': [53, 58]}, {'name': 'Q23781155', 'entityType': 'entity', 'label': 'Avengers: Endgame', 'mention': 'Avengers: Endgame', 'span': [32, 49]}, {'name': 1, 'entityType': 'ordinal', 'mention': 'first', 'span': [25, 30]}]","{'answerType': 'entity', 'answer': [{'name': 'Q23781155', 'label': {'en': 'Avengers: Endgame', 'ar': 'المنتقمون: نهاية اللعبة', 'de': 'Avengers: Endgame', 'es': 'Vengadores: Endgame', 'fr': 'Avengers: Endgame', 'hi': 'अवेंजर्स: एंडगेम', 'it': 'Avengers: Endgame', 'ja': 'アベンジャーズ・エンドゲーム', 'pt': 'Vingadores: Endgame'}}], 'mention': 'Avengers Endgame'}"
35,Was Friday the 13th released the same year as Halloween?,"[{'name': 'Q1243029', 'entityType': 'entity', 'label': 'Friday the 13th', 'mention': 'Friday the 13th', 'span': [4, 19]}, {'name': 'Q221103', 'entityType': 'entity', 'label': 'Halloween', 'mention': 'Halloween', 'span': [46, 55]}]","{'answerType': 'boolean', 'answer': [False], 'mention': 'No'}"
36,Did Scream come out before 2000?,"[{'name': 'Q27411', 'entityType': 'entity', 'label': 'Scream', 'mention': 'Scream', 'span': [4, 10]}, {'name': 2000, 'entityType': 'date', 'mention': '2000', 'span': [27, 31]}]","{'answerType': 'boolean', 'answer': [True], 'mention': 'Yes'}"
37,"Who is older, Drew Barrymore or Neve Campbell?","[{'name': 'Q676094', 'entityType': 'entity', 'label': 'Drew Barrymore', 'mention': 'Drew Barrymore', 'span': [14, 28]}, {'name': 'Q193482', 'entityType': 'entity', 'label': 'Neve Campbell', 'mention': 'Neve Campbell', 'span': [32, 45]}]","{'answerType': 'entity', 'answer': [{'name': 'Q193482', 'label': {'en': 'Neve Campbell', 'ar': 'نيف كامبل', 'de': 'Neve Campbell', 'es': 'Neve Campbell', 'fr': 'Neve Campbell', 'hi': None, 'it': 'Neve Campbell', 'ja': 'ネーヴ・キャンベル', 'pt': 'Neve Campbell'}}], 'mention': 'Neve Campbell'}"
38,Was The Ring released before 2005?,"[{'name': 'Q212804', 'entityType': 'entity', 'label': 'The Ring', 'mention': 'The Ring', 'span': [4, 12]}, {'name': 2005, 'entityType': 'date', 'mention': '2005', 'span': [29, 33]}]","{'answerType': 'boolean', 'answer': [True], 'mention': 'Yes'}"
39,"Who is older, Jodie Foster or Julia Roberts?","[{'name': 'Q40523', 'entityType': 'entity', 'label': 'Julia Roberts', 'mention': 'Julia Roberts', 'span': [30, 43]}, {'name': 'Q41351', 'entityType': 'entity', 'label': 'Jodie Foster', 'mention': 'Jodie Foster', 'span': [14, 26]}]","{'answerType': 'entity', 'answer': [{'name': 'Q41351', 'label': {'en': 'Jodie Foster', 'ar': 'جودي فوستر', 'de': 'Jodie Foster', 'es': 'Jodie Foster', 'fr': 'Jodie Foster', 'hi': None, 'it': 'Jodie Foster', 'ja': 'ジョディ・フォスター', 'pt': 'Jodie Foster'}}], 'mention': 'Jodie Foster'}"
40,"Who is taller, Angelina Jolie or Brad Pitt?","[{'name': 'Q13909', 'entityType': 'entity', 'label': 'Angelina Jolie', 'mention': 'Angelina Jolie', 'span': [15, 29]}, {'name': 'Q35332', 'entityType': 'entity', 'label': 'Brad Pitt', 'mention': 'Brad Pitt', 'span': [33, 42]}]","{'answerType': 'entity', 'answer': [{'name': 'Q35332', 'label': {'en': 'Brad Pitt', 'ar': 'براد بيت', 'de': 'Brad Pitt', 'es': 'Brad Pitt', 'fr': 'Brad Pitt', 'hi': 'ब्रैड पिट', 'it': 'Brad Pitt', 'ja': 'ブラッド・ピット', 'pt': 'Brad Pitt'}}], 'mention': 'Brad Pitt'}"
41,Is Jake Gyllenhaal older than Maggie Gyllenhaal?,"[{'name': 'Q133313', 'entityType': 'entity', 'label': 'Jake Gyllenhaal', 'mention': 'Jake Gyllenhaal', 'span': [3, 18]}, {'name': 'Q202381', 'entityType': 'entity', 'label': 'Maggie Gyllenhaal', 'mention': 'Maggie Gyllenhaal', 'span': [30, 47]}]","{'answerType': 'boolean', 'answer': [False], 'mention': 'No'}"
42,Was Parasite released after 2015?,"[{'name': 'Q61448040', 'entityType': 'entity', 'label': 'Parasite', 'mention': 'Parasite', 'span': [4, 12]}, {'name': 2015, 'entityType': 'date', 'mention': '2015', 'span': [28, 32]}]","{'answerType': 'boolean', 'answer': [True], 'mention': 'Yes'}"
43,Did Citizen Kane come out before 1950?,"[{'name': 'Q24815', 'entityType': 'entity', 'label': 'Citizen Kane', 'mention': 'Citizen Kane', 'span': [4, 16]}, {'name': 1950, 'entityType': 'date', 'mention': '1950', 'span': [33, 37]}]","{'answerType': 'boolean', 'answer': [True], 'mention': 'Yes'}"
44,Is Tom Cruise younger than Denzel Washington?,"[{'name': 'Q42101', 'entityType': 'entity', 'label': 'Denzel Washington', 'mention': 'Denzel Washington', 'span': [27, 44]}, {'name': 'Q37079', 'entityType': 'entity', 'label': 'Tom Cruise', 'mention': 'Tom Cruise', 'span': [3, 13]}]","{'answerType': 'boolean', 'answer': [True], 'mention': 'Yes'}"
45,Was Avatar's budget greater than $200 million?,"[{'name': 'Q24871', 'entityType': 'entity', 'label': 'Avatar', 'mention': ""Avatar's"", 'span': [4, 12]}, {'name': 200000000, 'entityType': 'money', 'mention': '$200 million', 'span': [33, 45]}]","{'answerType': 'boolean', 'answer': [True], 'mention': 'Yes'}"
46,"Which movie had a higher lifetime gross, Titanic or Avatar?","[{'name': 'Q44578', 'entityType': 'entity', 'label': 'Titanic', 'mention': 'Titanic', 'span': [41, 48]}, {'name': 'Q24871', 'entityType': 'entity', 'label': 'Avatar', 'mention': 'Avatar', 'span': [52, 58]}]","{'answerType': 'entity', 'answer': [{'name': 'Q24871', 'label': {'en': 'Avatar', 'ar': 'أفاتار', 'de': 'Avatar – Aufbruch nach Pandora', 'es': 'Avatar', 'fr': 'Avatar', 'hi': 'अवतार', 'it': 'Avatar', 'ja': 'アバター', 'pt': 'Avatar'}}], 'mention': 'Avatar'}"
47,"Which movie had a higher lifetime gross, Jurassic World or The Lion King?","[{'name': 'Q36479', 'entityType': 'entity', 'label': 'The Lion King', 'mention': 'The Lion King', 'span': [59, 72]}, {'name': 'Q3512046', 'entityType': 'entity', 'label': 'Jurassic World', 'mention': 'Jurassic World', 'span': [41, 55]}]","{'answerType': 'entity', 'answer': [{'name': 'Q3512046', 'label': {'en': 'Jurassic World', 'ar': 'العالم الجوراسي', 'de': 'Jurassic World', 'es': 'Jurassic World', 'fr': 'Jurassic World', 'hi': 'जुरासिक वर्ल्ड', 'it': 'Jurassic World', 'ja': 'ジュラシック・ワールド', 'pt': 'Jurassic Park 4'}}], 'mention': 'Jurassic World'}"
48,"Which Netflix series has been watched more, Tiger King or The Queen's Gambit?","[{'name': 'Q88306935', 'entityType': 'entity', 'label': 'Tiger King: Murder, Mayhem and Madness', 'mention': 'Tiger King', 'span': [44, 54]}, {'name': 'Q85808226', 'entityType': 'entity', 'label': ""The Queen's Gambit"", 'mention': ""The Queen's Gambit"", 'span': [58, 76]}, {'name': 'Q907311', 'entityType': 'entity', 'label': 'Netflix', 'mention': 'Netflix', 'span': [6, 13]}]","{'answerType': 'entity', 'answer': [{'name': 'Q88306935', 'label': {'en': 'Tiger King: Murder, Mayhem and Madness', 'ar': 'ملك النمر', 'de': 'Tiger King: Großkatzen und ihre Raubtiere', 'es': 'Rey Tigre', 'fr': 'Au royaume des fauves', 'hi': None, 'it': 'Tiger King', 'ja': None, 'pt': 'Tiger King: Murder, Mayhem and Madness'}}], 'mention': 'Tiger King'}"
49,"Which Netflix series has been watched more, Bridgerton or Tiger King?","[{'name': 'Q88306935', 'entityType': 'entity', 'label': 'Tiger King: Murder, Mayhem and Madness', 'mention': 'Tiger King', 'span': [58, 68]}, {'name': 'Q907311', 'entityType': 'entity', 'label': 'Netflix', 'mention': 'Netflix', 'span': [6, 13]}, {'name': 'Q85748936', 'entityType': 'entity', 'label': 'Bridgerton', 'mention': 'Bridgerton', 'span': [44, 54]}]","{'answerType': 'entity', 'answer': [{'name': 'Q85748936', 'label': {'en': 'Bridgerton', 'ar': 'بريدجيرتون', 'de': 'Bridgerton', 'es': 'Los Bridgerton', 'fr': 'Les chroniques de Bridgerton', 'hi': None, 'it': 'Bridgerton', 'ja': 'ブリジャートン家', 'pt': 'Bridgerton'}}], 'mention': 'Bridgerton'}"
